symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct,weekend_ratio
SKYUSDT,357,2025-09-09,2026-08-31,5.268565,3.9246185,0.0677099972963333,5.54108190536499,0.7302736043930054
MAGMAUSDT,244,2025-12-31,2026-08-31,5.2536605,2.2790563125,0.3620499968528747,12.987174034118652,0.954384446144104
PARTIUSDT,365,2025-09-01,2026-08-31,5.2527935,3.17034125,0.0239499993622303,8.589885711669922,0.843804657459259
ROSEUSDT,365,2025-09-01,2026-08-31,5.243522,3.07318175,0.006085000000894,6.670331001281738,0.7470992207527161
FOLKSUSDT,299,2025-11-06,2026-08-31,5.078837,2.624141875,2.0799999237060547,9.826478958129885,0.9340745806694031
LPTUSDT,365,2025-09-01,2026-08-31,5.0717015,2.914736,1.343000054359436,5.369531154632568,0.9639802575111389
KATUSDT,183,2026-03-02,2026-08-31,5.070193,2.294598125,0.0046979999169707,7.537177085876465,1.1336889266967773
QNTUSDT,365,2025-09-01,2026-08-31,5.0593155,3.18143075,61.02999877929688,5.009427547454834,0.7888055443763733
GUAUSDT,254,2025-12-21,2026-08-31,5.004455,2.7692366875,0.0396800003945827,11.440183639526367,0.6739104390144348
APRUSDT,313,2025-10-23,2026-08-31,5.0031895,2.4575205,0.19200000166893,11.708258628845217,0.9575533270835876
SOMIUSDT,365,2025-09-01,2026-08-31,4.9224905,1.951190625,0.1208000034093856,7.615478992462158,0.7152332067489624
ESPORTSUSDT,365,2025-09-01,2026-08-31,4.831262,2.420342,0.0180300008505582,10.759918212890623,0.9059341549873352
FORMUSDT,365,2025-09-01,2026-08-31,4.8043025,2.550087,0.2554999887943268,8.161730766296387,0.8779921531677246
ESPUSDT,203,2026-02-10,2026-08-31,4.7851195,2.624199625,0.0781299993395805,7.447284698486328,0.9598954916000366
EGLDUSDT,365,2025-09-01,2026-08-31,4.7660055,3.055714,3.880000114440918,5.762916564941406,0.899177610874176
EVAAUSDT,333,2025-10-03,2026-08-31,4.75657,1.895935875,0.7325000166893005,12.322397232055664,0.7422990202903748
SPACEUSDT,221,2026-01-23,2026-08-31,4.731168,2.717398,0.0048290002159774,9.688482284545898,0.894825279712677
BANKUSDT,365,2025-09-01,2026-08-31,4.714857,2.3781215,0.0356599986553192,10.056416511535645,0.8271926641464233
PLAYUSDT,365,2025-09-01,2026-08-31,4.6982555,1.87031175,0.0402100011706352,11.262714385986328,0.6633740067481995
SENTUSDT,291,2025-11-14,2026-08-31,4.669055,2.673085125,0.0127600003033876,7.480072975158691,0.8103159070014954
LAYERUSDT,365,2025-09-01,2026-08-31,4.6269385,2.45310625,0.0675700008869171,5.791111946105957,0.7487950325012207
HOLOUSDT,355,2025-09-11,2026-08-31,4.6248355,2.557366875,0.0641599968075752,7.505220413208008,0.8308758735656738
HOMEUSDT,365,2025-09-01,2026-08-31,4.5976585,2.56767125,0.0061119999736547,7.555972099304199,0.8089544773101807
SUSHIUSDT,365,2025-09-01,2026-08-31,4.5964485,2.57811975,0.1951999962329864,5.978903293609619,0.8973910212516785
NEOUSDT,365,2025-09-01,2026-08-31,4.5885415,2.691934,2.0369999408721924,4.895102024078369,0.8146447539329529
IOTAUSDT,365,2025-09-01,2026-08-31,4.564707,3.01683025,0.0398899987339973,5.604448318481445,0.7818669080734253
BLUAIUSDT,315,2025-10-21,2026-08-31,4.5629715,2.14590775,0.0123279998078942,12.542165756225586,0.7456952333450317
1000SATSUSDT,365,2025-09-01,2026-08-31,4.534793,2.36812425,1.0759999895526562e-05,7.264958381652832,0.7562921643257141
EDENUSDT,336,2025-09-30,2026-08-31,4.518585,2.34769025,0.0588800013065338,9.957171440124512,1.090850830078125
ZORAUSDT,365,2025-09-01,2026-08-31,4.501728,2.31720375,0.0088250003755092,7.620384693145752,0.8677799701690674
GMTUSDT,365,2025-09-01,2026-08-31,4.468625,2.85749525,0.0072389999404549,5.897225856781006,0.9236689209938049
POPCATUSDT,365,2025-09-01,2026-08-31,4.4206915,2.356815,0.0526299998164176,7.191097736358643,0.8155005574226379
MUBARAKUSDT,365,2025-09-01,2026-08-31,4.3862685,2.291045,0.0209899991750717,8.685442924499512,0.7556650638580322
COAIUSDT,341,2025-09-25,2026-08-31,4.3719055,2.29561475,0.2903999984264374,9.167548179626465,1.0579562187194824
NOTUSDT,365,2025-09-01,2026-08-31,4.344203,2.60575375,0.0004760999872814,6.759903430938721,0.8658508062362671
NOMUSDT,335,2025-10-01,2026-08-31,4.333363,2.399792375,0.0015920000150799,8.493691444396973,1.1126474142074585
EPICUSDT,365,2025-09-01,2026-08-31,4.3177805,2.0237945,0.339599996805191,9.105365753173828,0.8199822306632996
TRUTHUSDT,335,2025-10-01,2026-08-31,4.2855625,1.4268696875,0.0127499997615814,10.198183059692385,0.8567081689834595
NILUSDT,365,2025-09-01,2026-08-31,4.277987,2.74519525,0.0525499992072582,9.732274055480955,0.8484174609184265
JCTUSDT,295,2025-11-10,2026-08-31,4.2388005,2.0220508125,0.0018129999516531,13.601284980773926,0.9870927333831787
ONTUSDT,365,2025-09-01,2026-08-31,4.219929,2.080926625,0.0522200018167495,6.052626132965088,0.676343560218811
2ZUSDT,334,2025-10-02,2026-08-31,4.2083375,2.03819190625,0.0540000014007091,7.308718681335449,0.8750392198562622
USDCUSDT,365,2025-09-01,2026-08-31,4.19283125,2.666961,0.999746024608612,0.0238138753920793,0.5518026947975159
BBUSDT,365,2025-09-01,2026-08-31,4.15431425,1.927757,0.0093000000342726,8.425274848937988,0.777682900428772
GPSUSDT,365,2025-09-01,2026-08-31,4.15364125,2.2354645,0.0096800001338124,8.67230224609375,0.8773082494735718
