symbol,n_days,qv_median_musd,weekend_ratio
STOUSDT,142,8.3837795,0.7534881234169006
STRKUSDT,365,25.341498,0.742580771446228
STXUSDT,365,36.022948,0.5811160206794739
SUIUSDT,365,861.497984,0.6945707201957703
SUNUSDT,365,5.0507405,0.9239690899848938
SUPERUSDT,365,13.194605,0.6708548069000244
SUSDT,228,54.351404,0.7668291330337524
SUSHIUSDT,365,21.111608,0.7237907648086548
SWARMSUSDT,237,27.014296,0.6265653371810913
SWELLUSDT,297,6.207421,0.8256018161773682
SXPUSDT,365,9.114172,0.8349602222442627
SXTUSDT,122,14.061738,0.6031363010406494
SYNUSDT,365,7.182435,0.7245445847511292
SYRUPUSDT,117,61.554892,0.7388408184051514
SYSUSDT,365,3.67809225,0.7952846884727478
TAOUSDT,365,139.532032,0.6738840937614441
THETAUSDT,365,20.690144,0.6890658140182495
THEUSDT,278,19.512392,0.7494037747383118
TIAUSDT,365,144.077248,0.6972838640213013
TLMUSDT,365,4.186257,0.8277690410614014
TNSRUSDT,365,9.626157,0.8593196272850037
TOKENUSDT,365,6.1589245,0.6413637399673462
TONUSDT,365,77.993248,0.7765345573425293
TRBUSDT,365,37.754568,0.7553359866142273
TROYUSDT,305,4.709994,0.8431336283683777
TRUMPUSDT,226,436.60384,0.8532836437225342
TRUUSDT,365,6.6529255,0.8406813740730286
TRXUSDT,365,116.34836,0.7675023674964905
TSTUSDT,204,20.237264,0.9102382063865662
TURBOUSDT,365,55.506516,0.7886980175971985
TUSDT,365,5.751886,0.8650141358375549
TUTUSDT,165,14.502064,0.9706982374191284
TWTUSDT,365,4.2248485,0.7969328165054321
UMAUSDT,365,9.717294,0.9433121085166931
UNIUSDT,365,153.485968,0.641413688659668
USDCUSDT,365,4.787229,0.6338593363761902
USTCUSDT,365,7.247525,1.0322874784469604
USUALUSDT,257,35.778036,0.8781282901763916
UXLINKUSDT,351,28.016562,0.9030581116676331
VANAUSDT,259,21.217242,0.7740879058837891
VANRYUSDT,365,10.269154,0.7697653770446777
VELODROMEUSDT,262,4.245686,0.6652863025665283
VETUSDT,365,22.608604,0.7483866810798645
VIDTUSDT,365,7.283666,0.5635247230529785
VINEUSDT,220,51.33204,1.0817989110946655
VIRTUALUSDT,265,153.073856,0.6562469601631165
VOXELUSDT,365,6.7834535,0.9743031859397888
VTHOUSDT,222,4.386005,0.8663588166236877
VVVUSDT,215,7.4055695,0.8078020811080933
WALUSDT,158,11.732521,0.5904598832130432
WAXPUSDT,365,3.05394125,0.856343150138855
WCTUSDT,139,50.331988,0.8469153046607971
WIFUSDT,365,438.93424,0.7469545006752014
WLDUSDT,365,215.688368,0.7001091837882996
WOOUSDT,365,6.956229,0.664374589920044
WUSDT,365,26.531568,0.7307883501052856
XAIUSDT,365,16.280838,0.7394514679908752
XCNUSDT,143,6.5173285,0.7879514098167419
XLMUSDT,365,97.135736,0.7267789244651794
XMRUSDT,365,19.69845,0.7454367280006409
XRPUSDT,365,1795.796096,0.668638288974762
XTZUSDT,365,16.286562,0.8000941872596741
XVGUSDT,365,5.516296,0.8822599053382874
XVSUSDT,365,4.02008175,1.0080424547195435
YFIUSDT,365,7.2649755,0.7131202220916748
YGGUSDT,365,9.225449,0.6883224844932556
ZECUSDT,365,10.813873,0.771397590637207
ZENUSDT,365,14.717598,0.8379205465316772
ZEREBROUSDT,242,25.893604,0.7534096240997314
ZETAUSDT,365,9.755523,0.7263785600662231
ZILUSDT,365,8.580791,0.7439579963684082
ZKJUSDT,111,7.677522,0.9422024488449097
ZKUSDT,365,20.352924,0.7683489322662354
ZROUSDT,365,36.696284,0.7761281728744507
ZRXUSDT,365,8.606041,0.8112640380859375
