symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct
CFGUSDT,169,2026-03-16,2026-08-31,6.1528385,2.85825775,0.10769999772310257,9.09980583190918
METUSDT,325,2025-10-11,2026-08-31,6.1416515,3.23215325,0.19629999995231628,8.42170238494873
SOONUSDT,365,2025-09-01,2026-08-31,6.103028,2.38151325,0.1973000019788742,8.438289642333984
MMTUSDT,301,2025-11-04,2026-08-31,6.074334,2.8834085,0.15860000252723694,8.149166107177734
OUSDT,69,2026-06-24,2026-08-31,6.0627155,2.925516,0.5541999936103821,9.828516006469727
LAUSDT,365,2025-09-01,2026-08-31,6.043787,2.8701935,0.06095999851822853,7.860823154449463
PEOPLEUSDT,365,2025-09-01,2026-08-31,6.010219,3.3435765,0.007822000421583652,6.873976230621338
TSMUSDT,148,2026-04-06,2026-08-31,6.0075665,1.76392034375,416.8699951171875,3.2511696815490723
BMNRUSDT,82,2026-06-11,2026-08-31,6.006684,1.25171696875,25.0,5.676105976104736
COPPERUSDT,179,2026-03-06,2026-08-31,5.989455,2.984849375,6.703999996185303,1.9561091661453247
THETAUSDT,365,2025-09-01,2026-08-31,5.9557015,3.4845025,0.1687999963760376,5.9813385009765625
XTZUSDT,365,2025-09-01,2026-08-31,5.9446905,2.833551,0.21240000426769257,5.025993824005127
KASUSDT,365,2025-09-01,2026-08-31,5.936897,3.63220425,0.027869999408721924,5.600685119628906
FLOWUSDT,365,2025-09-01,2026-08-31,5.8810805,1.945420125,0.026669999584555626,6.214282989501953
GRTUSDT,365,2025-09-01,2026-08-31,5.8764835,3.63653575,0.016349999234080315,5.457335472106934
ARXUSDT,70,2026-06-23,2026-08-31,5.87255,3.333745375,0.1289999932050705,10.582072257995605
AIAUSDT,348,2025-09-18,2026-08-31,5.862853,2.10827371875,0.07670000195503235,12.175183296203613
PTBUSDT,363,2025-09-03,2026-08-31,5.813789,2.85233925,0.0007652000058442354,13.61130142211914
IMXUSDT,365,2025-09-01,2026-08-31,5.8098955,3.1709535,0.12449999898672104,6.818180561065674
MEMEUSDT,365,2025-09-01,2026-08-31,5.7582645,3.2959875,0.0005243999767117202,6.723405361175537
SKYAIUSDT,365,2025-09-01,2026-08-31,5.718428,2.0142025,0.05372000113129616,12.632613182067871
RUNEUSDT,365,2025-09-01,2026-08-31,5.7080955,3.67522,0.4796000123023987,4.907975196838379
SIRENUSDT,365,2025-09-01,2026-08-31,5.692153,1.461196,0.030330000445246696,10.90710735321045
BLESSUSDT,343,2025-09-23,2026-08-31,5.667589,2.686310625,0.010362000204622746,13.339346885681152
JASMYUSDT,365,2025-09-01,2026-08-31,5.6403075,3.56036775,0.00482900021597743,5.864326477050781
METAUSDT,159,2026-03-26,2026-08-31,5.6333185,2.981721,572.52001953125,2.445507526397705
MOVEUSDT,365,2025-09-01,2026-08-31,5.5803455,3.301722,0.008113999851047993,6.189661979675293
OPENUSDT,358,2025-09-08,2026-08-31,5.510626,2.7227746875,0.13289999961853027,8.228153228759766
COLLECTUSDT,244,2025-12-31,2026-08-31,5.489157,2.2741406875,0.07513999938964844,15.077614784240723
CRWVUSDT,106,2026-05-18,2026-08-31,5.485177,2.0060624375,85.05999755859375,7.0585832595825195
ALICEUSDT,365,2025-09-01,2026-08-31,5.455891,2.67794325,0.1340000033378601,7.407408237457275
HEMIUSDT,365,2025-09-01,2026-08-31,5.4459805,2.69267975,0.015988999977707863,10.108552932739258
IOUSDT,365,2025-09-01,2026-08-31,5.402631,2.8910235,0.12870000302791595,8.007333755493164
SAGAUSDT,365,2025-09-01,2026-08-31,5.351478,2.86264425,0.015010000206530094,7.982260704040527
PRLUSDT,153,2026-04-01,2026-08-31,5.2961145,2.72952075,0.15809999406337738,11.747339248657227
SKYUSDT,357,2025-09-09,2026-08-31,5.268565,3.9246185,0.06770999729633331,5.54108190536499
MAGMAUSDT,244,2025-12-31,2026-08-31,5.2536605,2.2790563125,0.36204999685287476,12.987174034118652
